Model,Scenario,Region,Variable,Unit,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
GCAM-PR 5.3,Current Policies,USA,Capacity Additions Electricity,GW/yr,0,0,0,4.407799863,2.912797102,1.880710253,1.237652841,0.372467937,0.894245171,0.710376962,0.751428745,0.415636914,0.234141766,0.037612883,0.031064355,0.0185716,0.020082629,0.009576603,0.005769417,0.001191489
GCAM-PR 5.3,Current Policies,World,Capacity Additions Electricity,GW/yr,0,0,0,145.6840747,155.9092173,147.5086669,122.2261875,9.128117808,76.5815735,94.72286635,105.5702273,110.0872782,125.7719181,52.57953092,55.60655629,35.65671794,17.86980952,6.98152091,3.579314448,1.606090702
GCAM-PR 5.3,Current Policies,USA,Capacity Additions Electricity,GW/yr,0,0,0,0,4.37269356,6.052063012,5.641176364,2.634823598,5.85478931,6.586272691,7.916728962,5.951956158,6.578056268,3.90845723,6.238684842,5.476455582,7.176535165,5.949929429,6.190143508,4.134259075
GCAM-PR 5.3,Current Policies,World,Capacity Additions Electricity,GW/yr,0,0,0,87.0283545,65.82480298,56.37986065,37.70198632,23.21462223,34.32301827,48.99330551,46.08338968,45.39788533,39.17329887,30.16506162,26.49376555,27.24717209,27.39706998,30.03632173,24.8677218,23.87748967
GCAM-PR 5.3,Current Policies,USA,Capacity Additions Electricity,GW/yr,0,0,0,0,0.365142307,0.489303299,2.843405441,1.977626903,4.342048278,5.527304747,6.899029205,5.454407978,6.330026081,3.86411402,6.202290795,5.456260226,7.158545313,5.941758784,6.184915811,4.132794029
GCAM-PR 5.3,Current Policies,World,Capacity Additions Electricity,GW/yr,0,0,0,0,0.409641852,0.543250167,8.610840604,11.6548336,21.05637493,32.33394879,31.30408529,31.63070836,27.64406501,24.38906816,21.00102011,22.41290521,23.9285801,26.55928655,22.24399015,21.06061887
GCAM-PR 5.3,Current Policies,USA,Capacity Additions Electricity,GW/yr,0,0,0,0,4.007551253,5.562759713,2.797770923,0.657196696,1.512741032,1.058967944,1.017699758,0.49754818,0.248030187,0.044343209,0.036394048,0.020195356,0.017989852,0.008170645,0.005227697,0.001465046
GCAM-PR 5.3,Current Policies,World,Capacity Additions Electricity,GW/yr,0,0,0,87.0283545,65.41516113,55.83661049,29.09114572,11.55978863,13.26664335,16.65935671,14.77930439,13.76717697,11.52923385,5.775993457,5.492745441,4.834266889,3.468489883,3.477035175,2.623731654,2.816870802
GCAM-PR 5.3,Current Policies,USA,Capacity Additions Electricity,GW/yr,0,0,0,16.8251101,11.61065179,8.361959656,7.112988051,3.120313377,7.08517931,7.539164717,8.862628658,6.568845153,7.115627649,4.323981772,6.974672292,6.283243863,8.27784864,6.906441182,7.235198669,4.595964626
GCAM-PR 5.3,Current Policies,World,Capacity Additions Electricity,GW/yr,0,0,0,62.11490663,44.56546801,41.69239823,38.49856435,31.03508854,28.26980757,44.82841852,44.80634377,48.51741259,52.65986152,48.35168091,38.2275473,45.12910704,48.2888318,50.50717557,50.64171766,47.41967788
GCAM-PR 5.3,Current Policies,USA,Capacity Additions Electricity,GW/yr,0,0,0,0,1.144696537,0.768644406,2.061481323,1.396411244,3.196037069,4.131035166,5.318922818,4.448473966,5.603714802,3.870645453,6.492409469,5.967186707,7.952532027,6.723860033,7.098588914,4.54422644
